price,price per m,area,location
980000,5765,170,Poznań Jeżyce Smochowice
6450000,13665,472,Poznań Jeżyce Sołacz
429000,8218,52.2,Suchy Las poznański wielkopolskie
549000,5490,100,Rokietnica wielkopolskie
1500000,559701,268,Poznań wielkopolskie
790000,6994,112.95,Poznań Jeżyce Krzyżowniki ul. Bojerowa
2449000,11391,215,Zakrzewo wielkopolskie
225000,3214,70,Poznań wielkopolskie
650000,5459,119.07,Gowarzewo wielkopolskie
730000,4620,158,Czapury wielkopolskie
940000,7672,122.52,Poznań Jeżyce Krzyżowniki ul. Bojerowa
940000,7672,122.52,Poznań Jeżyce Krzyżowniki ul. Bojerowa
850000,5313,160,Chomęcice wielkopolskie
859000,7315,117.43,Poznań Nowe Miasto ul. Sanocka
980000,5765,170,Poznań Jeżyce Smochowice
629000,4585,137.2,Wiry wielkopolskie
629000,4585,137.2,Luboń wielkopolskie
499000,5046,98.9,Rokietnica wielkopolskie
368000,5476,67.2,Swarzędz wielkopolskie
285000,5513,51.7,Zalasewo wielkopolskie
384000,5950,64.54,Zalasewo wielkopolskie
798000,7969,100.14,Kamionki poznański wielkopolskie
795000,5746,138.36,Poznań Nowe Miasto Szczepankowo ul. Chrzanowska
2150000,7049,305,Suchy Las wielkopolskie
649000,6065,107,Szczytniki wielkopolskie
1750000,7447,235,Borówiec wielkopolskie
1089000,5431,200.53,ul. Szkolna Rokietnica wielkopolskie
695000,5425,128.12,Piotrowska Daszewice poznański wielkopolskie
649000,6490,100,Poznańska Daszewice poznański wielkopolskie
529000,5585,94.72,Poznańska Daszewice wielkopolskie
549000,5364,102.35,Daszewice wielkopolskie
848000,6661,127.3,Kamionki wielkopolskie
695000,6390,108.77,Kamionki wielkopolskie
1150000,6117,188,Kamionki wielkopolskie
499000,6475,77.06,Poznańska Kamionki wielkopolskie
529000,6373,83,Poznańska Kamionki wielkopolskie
495000,6664,74.28,Kamionki wielkopolskie
657900,5574,118.02,Kamionki wielkopolskie
649000,5049,128.55,Kamionki wielkopolskie
590000,6143,96.05,Kamionki wielkopolskie
598000,6841,87.41,Leśna Borówiec wielkopolskie
568000,5680,100,Różana Borówiec wielkopolskie
749000,6040,124,Borówiec wielkopolskie
389000,6593,59,Szczytniki wielkopolskie
,6593,111.1,ul. Owocowa Łowęcin wielkopolskie
479000,5702,84,Kiekrz wielkopolskie
,5702,106.6,ul. Owocowa Łowęcin wielkopolskie
999000,3161,316,Poznań Stare Miasto Umultowo
,3161,106.6,ul. Owocowa Łowęcin wielkopolskie
599000,4680,128,Poznań Stare Miasto Morasko
,4680,106.6,ul. Owocowa Łowęcin wielkopolskie
,4680,111.1,ul. Owocowa Łowęcin wielkopolskie
920000,6815,135,Poznań Nowe Miasto Szczepankowo ul. Sokalska
10999000,8467,1299,Poznań Stare Miasto Stary Rynek
720000,7500,96,Rokietnica wielkopolskie
1500000,5474,274,Luboń Żabikowo ul. Długa
1290000,8323,155,ul. Południowa Wiry wielkopolskie
1242000,7138,174,Morelowa Potasze wielkopolskie
990000,6781,146,ul. Południowa Wiry wielkopolskie
525000,5707,92,ul. Leśna Kiekrz wielkopolskie
699000,5461,128,Suchy Las wielkopolskie
920000,6259,147,Poznań Nowe Miasto Szczepankowo ul. Glebowa
467990,5300,88.3,Gromadzka Czapury wielkopolskie
615000,7987,77,ul. Południowa Wiry wielkopolskie
375000,12097,31,Szkutnicza Kiekrz poznański wielkopolskie
749000,6513,115,Rokietnica wielkopolskie
645000,7028,91.78,Gajowa Tulce wielkopolskie
585000,6634,88.18,Gowarzewo wielkopolskie
469000,5319,88.18,Gowarzewo wielkopolskie
759000,7515,101,Poznań Jeżyce Strzeszyn ul. Poetycka
439000,4526,97,Siekierki Wielkie wielkopolskie
479000,6491,73.8,Siekierki Wielkie wielkopolskie
349000,5209,67,Siekierki Wielkie wielkopolskie
369000,4912,75.12,Kostrzyn wielkopolskie
899000,6148,146.22,Garby wielkopolskie
585000,6094,96,Kamionki wielkopolskie
1190000,7628,156,Poznań Jeżyce Strzeszyn ul. Melchiora Wańkowicza
790000,4031,196,Przecław wielkopolskie
890000,5460,163,Garby wielkopolskie
559000,7260,77,Kamionki wielkopolskie
799000,6291,127,ul. Lawendowa Gowarzewo wielkopolskie
534440,6200,86.2,Gromadzka Czapury wielkopolskie
467990,5300,88.3,Gromadzka Czapury wielkopolskie
488750,5750,85,Gromadzka Czapury wielkopolskie
657850,5900,111.5,Gromadzka Czapury wielkopolskie
698000,7670,91,Poznań Jeżyce Podolany
650000,4643,140,ul. Konarzewskiego Luboń wielkopolskie
507740,5300,95.8,Gromadzka Czapury wielkopolskie
815000,7026,116,Poznań wielkopolskie
970000,8083,120,Poznań Jeżyce Ogrody Ogrody
569000,4948,115,Plucińskiego Lusowo wielkopolskie
379900,5756,66,Swarzędz wielkopolskie
419000,5524,75.85,Swarzędz wielkopolskie
599000,5396,111,Dopiewo wielkopolskie
2950000,8194,360,Poznań Nowe Miasto Zawady ul. Kotlarska
1480000,5920,250,Walerianowo wielkopolskie
599000,5348,112,Stęszew poznański wielkopolskie
420000,6176,68,Stęszewko wielkopolskie
498400,5579,89.33,Dopiewiec wielkopolskie
490000,4375,112,Śródka wielkopolskie
859000,6180,139,ul. Księcia Józefa Poniatowskiego Rokietnica wielkopolskie
879000,7643,115,Skórzewo wielkopolskie
469000,5611,83.58,Dachowa wielkopolskie
472000,5667,83.29,Dachowa wielkopolskie
472000,5667,83.29,Dachowa wielkopolskie
467000,5618,83.13,Dachowa wielkopolskie
549000,4964,110.6,Swarzędz wielkopolskie
989000,7912,125,Poznań Jeżyce Podolany ul. Ignacego Kaczmarka
1150000,6216,185,Poznań Stare Miasto Piątkowo os. Marysieńki
749000,5590,134,Paczkowo poznański wielkopolskie
650000,6599,98.5,Rokietnica wielkopolskie
671000,7802,86,Poznań wielkopolskie
478000,5359,89.2,Zimowa Gowarzewo wielkopolskie
839000,5747,146,Suchy Las wielkopolskie
441000,5915,74.56,Czapury wielkopolskie
499000,4597,108.54,Szczytniki wielkopolskie
471000,4157,113.3,Dachowa wielkopolskie
543000,6550,82.9,Luboń poznański wielkopolskie
1300000,4962,262,Swarzędz poznański wielkopolskie
1690000,5345,316.2,Poznań Stare Miasto Morasko Dzięgielowa
1290000,5908,218.34,Słoneczna Dąbrowa wielkopolskie
655000,6009,109,Sportowa Kamionki wielkopolskie
729000,9720,75,Poznańska Wiry wielkopolskie
3599000,15855,227,Poznań wielkopolskie
395000,5486,72,Gowarzewo wielkopolskie
515000,3759,137,Siekierki Wielkie wielkopolskie
570000,5377,106,Fiołkowa Gołuski wielkopolskie
699000,5825,120,Dąbrowa poznański wielkopolskie
695000,4964,140,Sepno wielkopolskie
804999,5963,135,Poznań Grunwald Świerczewo
765000,5100,150,Poznań Grunwald
550000,6322,87,Komorniki poznański wielkopolskie
629000,5114,123,Gołuski wielkopolskie
1890000,10161,186,Poznań Nowe Miasto Malta os.Zodiak
1149000,7272,158,Gruszczyn wielkopolskie
599000,5760,104,Sasankowa Rokietnica wielkopolskie
670000,6044,110.85,ul. Kujawska Luboń wielkopolskie
945000,6608,143,Kiekrz wielkopolskie
758000,6037,125.55,Puszczykowo wielkopolskie
449000,4490,100,Robakowo wielkopolskie
344000,4954,69.44,Kostrzyn wielkopolskie
399500,6760,59.1,Walerianowo wielkopolskie
1000000,267594,373.7,Poznań Stare Miasto Stary Rynek
1197000,9085,131.75,Poznań Jeżyce
2990000,787,3800,Poznań wielkopolskie
1580000,8876,178,ul. Wiosenna Plewiska wielkopolskie
765000,9745,78.5,Poznań Grunwald
649000,5070,128,ul. Wierzbowa Kamionki wielkopolskie
995000,6297,158,Poznań Nowe Miasto Szczepankowo ul. Spławie
1090000,6301,173,Poznań Nowe Miasto Szczepankowo ul. Bobrownicka
989000,7912,125,Poznań Jeżyce Podolany ul. Ignacego Kaczmarka
999000,5644,177,Poznań Nowe Miasto Antoninek Leszka
900000,8242,109.2,Czapury wielkopolskie
599000,5076,118,Dopiewo wielkopolskie
499000,3906,127.74,Poznań wielkopolskie
790000,5448,145,Poznań Grunwald Junikowo Piwoniowa
1400000,6015,232.76,Poznań Nowe Miasto Szczepankowo
1280000,9846,130,Puszczykowo poznański wielkopolskie
799000,8366,95.5,Zakrzewo poznański wielkopolskie
659000,5492,120,Gruszczyn wielkopolskie
820000,7885,104,Pobiedziska wielkopolskie
840000,5925,141.77,Poznań Jeżyce Psarskie
955000,8045,118.7,ul. Batorowska Skórzewo wielkopolskie
4200000,4150,1012,Poznań Stare Miasto
379950,5499,69.09,ul Siekierecka 35 Gowarzewo wielkopolskie
449000,4405,101.92,św. Marii Magdaleny Kostrzyn wielkopolskie
498400,5579,89.33,Dopiewiec wielkopolskie
501000,4473,112,Śródka wielkopolskie
699516,6120,114.3,Poznań Nowe Miasto Szczepankowo
385000,5267,73.1,ul. Sportowa Dachowa wielkopolskie
629000,8387,75,ul. Kartingowa Kamionki wielkopolskie
1399000,8229,170,Poznań Grunwald Górczyn ul. Stęszewska
899000,11162,80.54,Dworcowa Luboń wielkopolskie
759000,8724,87,Skórzewo wielkopolskie
2400000,12000,200,Poznań Nowe Miasto Pokrzywno
329000,4741,69.4,Środa Wielkopolska Poznań wielkopolskie
1249000,6644,188,Rostworowo Rokietnica wielkopolskie
2150000,9034,238,ul. Zacisze Rokietnica wielkopolskie
1350000,11057,122.1,Poznań Stare Miasto Naramowice Błażeja
729000,7670,95.05,Poznań Grunwald Fabianowo ul. Uradzka
895000,6689,133.8,ul. Dębowa Skórzewo wielkopolskie
619000,7577,81.69,Poetów Koninko wielkopolskie
585000,6094,96,Kamionki poznański wielkopolskie
679000,6346,107,Kamionki wielkopolskie
729000,6750,108,Czerwonak wielkopolskie
590000,6060,97.36,Dopiewo wielkopolskie
620000,6392,97,ul. Stroma Suchy Las wielkopolskie
479000,5096,94,Rokietnica wielkopolskie
515000,6686,77.03,Dopiewiec wielkopolskie
620000,5391,115,Poznań Jeżyce Krzyżowniki ul. Wichrowa
890000,6237,142.7,Poznań Jeżyce Strzeszyn ul. Literacka
749000,5762,130,Sefana Batorego Batorowo wielkopolskie
649000,5957,108.94,Szczytniki wielkopolskie
409000,5054,80.92,Szczytniki wielkopolskie
649000,5957,108.94,Szczytniki wielkopolskie
519000,4741,109.46,Szczytniki wielkopolskie
429000,5302,80.92,Szczytniki wielkopolskie
389000,6593,59,Spokojna Szczytniki wielkopolskie
557000,7736,72,Dąbrówka wielkopolskie
480000,6857,70,Poznań Nowe Miasto Starołęka
480000,6857,70,Poznań wielkopolskie
529000,5878,90,Kostrzyn wielkopolskie
730000,6577,111,Luboń wielkopolskie
1100000,6879,159.9,Baranowo gm. Mosina wielkopolskie
1000000,5618,178,Poznań wielkopolskie
1499000,5996,250,Łowęcińska Jasin wielkopolskie
395000,5643,70,ul. Borówkowa Gowarzewo poznański wielkopolskie
515000,4835,106.52,Chmielna Siekierki Wielkie wielkopolskie
859000,7315,117.43,Poznań wielkopolskie
599000,6085,98.44,Tulce wielkopolskie
999000,5644,177,Poznań Nowe Miasto Antoninek Leszka
699000,4369,160,Poznań Grunwald Świerczewo os. Powstańców Śląskich
595000,6555,90.77,Sierosław wielkopolskie
549000,5364,102.35,Daszewice wielkopolskie
649000,6363,102,Tęczowa Konarzewo wielkopolskie
650000,5963,109,Kobylniki wielkopolskie
1499000,3472,431.8,Poznań Stare Miasto Umultowo
495000,6664,74.28,Magnoliowa Kamionki wielkopolskie
848000,5897,143.8,Kamionki poznański wielkopolskie
657900,5501,119.6,Kamionki poznański wielkopolskie
1490000,9770,152.5,Złotniki wielkopolskie
599000,5042,118.8,Kobylniki poznański wielkopolskie
1350000,8385,161,os.Grzybowe ul.Maślakowa Złotniki wielkopolskie
530000,7012,75.59,ul. Zmysłowo Mrowino wielkopolskie
420000,4516,93,Jerzyn wielkopolskie
1420000,10143,140,Komorniki wielkopolskie
1990000,13007,153,Poznań Jeżyce Strzeszyn ul. Marka Hłaski
620000,5458,113.59,Poznań Nowe Miasto Szczepankowo Dobrepole
1970000,7853,250.85,ul. Jaskółcza Puszczykowo wielkopolskie
649000,6065,107,Szczytniki wielkopolskie
449000,5251,85.5,os. Słoneczne Piaski Karczewko wielkopolskie
589000,6299,93.51,Szczytniki wielkopolskie
900000,8242,109.2,Czapury wielkopolskie
609000,5615,108.45,Rowerowa Trzaskowo wielkopolskie
594000,5477,108.45,Rowerowa Trzaskowo wielkopolskie
700000,5184,135.03,ul. Feliksa Nowowiejskiego Gruszczyn wielkopolskie
699000,6104,114.52,ul. Feliksa Nowowiejskiego Gruszczyn wielkopolskie
1090900,6484,168.25,Swarzędz wielkopolskie
895000,4972,180,Uzarzewo Swarzędz wielkopolskie
770000,5033,153,Poznań Wilda Dębiec
570000,5700,100,Wiry wielkopolskie
